time_stamp	actual_pos_joint_4	actual_pos_joint_5	actual_pos_joint_3	actual_pos_joint_1	actual_pos_joint_2	actual_pos_joint_6	actual_vel_joint_4	actual_vel_joint_5	actual_vel_joint_3	actual_vel_joint_1	actual_vel_joint_2	actual_vel_joint_6	actual_acc_joint_4	actual_acc_joint_5	actual_acc_joint_3	actual_acc_joint_1	actual_acc_joint_2	actual_acc_joint_6	actual_time_from_start	desired_pos_joint_4	desired_pos_joint_5	desired_pos_joint_3	desired_pos_joint_1	desired_pos_joint_2	desired_pos_joint_6	desired_vel_joint_4	desired_vel_joint_5	desired_vel_joint_3	desired_vel_joint_1	desired_vel_joint_2	desired_vel_joint_6	desired_acc_joint_4	desired_acc_joint_5	desired_acc_joint_3	desired_acc_joint_1	desired_acc_joint_2	desired_acc_joint_6	desired_time_from_start
1504020457.518829107	-0.365087	0.776194	-0.814544	-0.0368155	0.793068	-1.60608	0.334265	0	0	0	0	0	0	0	0	0	0	0	0.000000000	-0.333772	0.788798	-0.788798	-0.029459	0.828698	-1.5708	0.375041	0.1	0.1	0.1	0.1	0.1	0	0	0	0	0	0	0.000000000
1504020457.538352966	-0.365087	0.776194	-0.814544	-0.0368155	0.793068	-1.60608	0.334265	0	0	0	0	0	0	0	0	0	0	0	0.000000000	-0.333772	0.788798	-0.788798	-0.029459	0.828698	-1.5708	0.375041	0.1	0.1	0.1	0.1	0.1	0	0	0	0	0	0	0.000000000
1504020457.560702085	-0.355884	0.776194	-0.814544	-0.0352816	0.793068	-1.60608	0.334265	0	0	0	0	0	0	0	0	0	0	0	0.000000000	-0.315167	0.788798	-0.788798	-0.0278169	0.828698	-1.5708	0.368383	0.1	0.1	0.1	0.1	0.1	0	0	0	0	0	0	0.000000000
1504020457.578630924	-0.345146	0.776194	-0.814544	-0.0352816	0.793068	-1.60608	0.334265	0	0	0	0	0	0	0	0	0	0	0	0.000000000	-0.315167	0.788798	-0.788798	-0.0278169	0.828698	-1.5708	0.368383	0.1	0.1	0.1	0.1	0.1	0	0	0	0	0	0	0.000000000
1504020457.598371028	-0.345146	0.776194	-0.814544	-0.0352816	0.793068	-1.60608	0.334265	0	0	0	0	0	0	0	0	0	0	0	0.000000000	-0.296927	0.788798	-0.788798	-0.0262071	0.828698	-1.5708	0.361144	0.1	0.1	0.1	0.1	0.1	0	0	0	0	0	0	0.000000000
1504020457.618210077	-0.334408	0.776194	-0.816078	-0.0337476	0.793068	-1.60608	0.334265	0	0	0	0	0	0	0	0	0	0	0	0.000000000	-0.296927	0.788798	-0.788798	-0.0262071	0.828698	-1.5708	0.361144	0.1	0.1	0.1	0.1	0.1	0	0	0	0	0	0	0.000000000
1504020457.638612031	-0.322136	0.777728	-0.814544	-0.0337476	0.793068	-1.60608	0.382018	0	0	0	0	0	0	0	0	0	0	0	0.000000000	-0.296927	0.788798	-0.788798	-0.0262071	0.828698	-1.5708	0.361144	0.1	0.1	0.1	0.1	0.1	0	0	0	0	0	0	0.000000000
1504020457.658143043	-0.322136	0.777728	-0.814544	-0.0337476	0.793068	-1.60608	0.382018	0	0	0	0	0	0	0	0	0	0	0	0.000000000	-0.279081	0.788798	-0.788798	-0.024632	0.828698	-1.5708	0.353357	0.1	0.1	0.1	0.1	0.1	0	0	0	0	0	0	0.000000000
1504020457.678358078	-0.314466	0.777728	-0.814544	-0.0322136	0.793068	-1.60608	0.382018	0	0	0	0	0	0	0	0	0	0	0	0.000000000	-0.279081	0.788798	-0.788798	-0.024632	0.828698	-1.5708	0.353357	0.1	0.1	0.1	0.1	0.1	0	0	0	0	0	0	0.000000000
1504020457.698455095	-0.305262	0.777728	-0.814544	-0.0322136	0.793068	-1.60608	0.286513	0	0	0	0	0	0	0	0	0	0	0	0.000000000	-0.261655	0.788798	-0.788798	-0.0230939	0.828698	-1.5708	0.345043	0.1	0.1	0.1	0.1	0.1	0	0	0	0	0	0	0.000000000
1504020457.719119071	-0.297592	0.776194	-0.814544	-0.0306796	0.793068	-1.60608	0.238761	0	0	0	0	0	0	0	0	0	0	0	0.000000000	-0.261655	0.788798	-0.788798	-0.0230939	0.828698	-1.5708	0.345043	0.1	0.1	0.1	0.1	0.1	0	0	0	0	0	0	0.000000000
1504020457.739715099	-0.288388	0.776194	-0.814544	-0.0291456	0.793068	-1.60608	0.286513	0	0	0	0	0	0	0	0	0	0	0	0.000000000	-0.261655	0.788798	-0.788798	-0.0230939	0.828698	-1.5708	0.345043	0.1	0.1	0.1	0.1	0.1	0	0	0	0	0	0	0.000000000
1504020457.758383989	-0.279185	0.776194	-0.814544	-0.0291456	0.793068	-1.60608	0.382018	0	0	0	0	0	0	0	0	0	0	0	0.000000000	-0.244674	0.788798	-0.788798	-0.0215952	0.828698	-1.5708	0.336222	0.1	0.1	0.1	0.1	0.1	0	0	0	0	0	0	0.000000000
1504020457.779973983	-0.279185	0.776194	-0.816078	-0.0291456	0.793068	-1.60454	0.382018	0	0	0	0	0	0	0	0	0	0	0	0.000000000	-0.244674	0.788798	-0.788798	-0.0215952	0.828698	-1.5708	0.336222	0.1	0.1	0.1	0.1	0.1	0	0	0	0	0	0	0.000000000
1504020457.798044919	-0.269981	0.776194	-0.816078	-0.0291456	0.793068	-1.60454	0.286513	0	0	0	0	0	0	0	0	0	0	0	0.000000000	-0.244674	0.788798	-0.788798	-0.0215952	0.828698	-1.5708	0.336222	0.1	0.1	0.1	0.1	0.1	0	0	0	0	0	0	0.000000000
1504020457.818161010	-0.260777	0.777728	-0.814544	-0.0276117	0.791534	-1.60454	0.286513	0	0	0	0	0	0	0	0	0	0	0	0.000000000	-0.228163	0.788798	-0.788798	-0.0201379	0.828698	-1.5708	0.326908	0.1	0.1	0.1	0.1	0.1	0	0	0	0	0	0	0.000000000
1504020457.839581966	-0.260777	0.777728	-0.814544	-0.0276117	0.791534	-1.60454	0.286513	0	0	0	0	0	0	0	0	0	0	0	0.000000000	-0.228163	0.788798	-0.788798	-0.0201379	0.828698	-1.5708	0.326908	0.1	0.1	0.1	0.1	0.1	0	0	0	0	0	0	0.000000000
1504020457.858078956	-0.251573	0.776194	-0.814544	-0.0260777	0.793068	-1.60454	0.334265	0	0	0	0	0	0	0	0	0	0	0	0.000000000	-0.212145	0.788798	-0.788798	-0.0187241	0.828698	-1.5708	0.317161	0.1	0.1	0.1	0.1	0.1	0	0	0	0	0	0	0.000000000
1504020457.878094911	-0.237767	0.776194	-0.814544	-0.0260777	0.793068	-1.60454	0.334265	0	0	0	0	0	0	0	0	0	0	0	0.000000000	-0.212145	0.788798	-0.788798	-0.0187241	0.828698	-1.5708	0.317161	0.1	0.1	0.1	0.1	0.1	0	0	0	0	0	0	0.000000000
1504020457.898098945	-0.233165	0.776194	-0.814544	-0.0260777	0.793068	-1.60454	0.334265	0	0	0	0	0	0	0	0	0	0	0	0.000000000	-0.212145	0.788798	-0.788798	-0.0187241	0.828698	-1.5708	0.317161	0.1	0.1	0.1	0.1	0.1	0	0	0	0	0	0	0.000000000
1504020457.918196916	-0.225495	0.776194	-0.814544	-0.0245437	0.793068	-1.60454	0.286513	0	0	0	0	0	0	0	0	0	0	0	0.000000000	-0.196641	0.788798	-0.788798	-0.0173557	0.828698	-1.5708	0.306973	0.1	0.1	0.1	0.1	0.1	0	0	0	0	0	0	0.000000000
1504020457.938446998	-0.216291	0.777728	-0.814544	-0.0245437	0.793068	-1.60454	0.334265	0	0	0	0	0	0	0	0	0	0	0	0.000000000	-0.196641	0.788798	-0.788798	-0.0173557	0.828698	-1.5708	0.306973	0.1	0.1	0.1	0.1	0.1	0	0	0	0	0	0	0.000000000
1504020457.958076000	-0.216291	0.777728	-0.814544	-0.0245437	0.793068	-1.60454	0.334265	0	0	0	0	0	0	0	0	0	0	0	0.000000000	-0.181673	0.788798	-0.788798	-0.0160346	0.828698	-1.5708	0.296383	0.1	0.1	0.1	0.1	0.1	0	0	0	0	0	0	0.000000000
1504020457.978085994	-0.205553	0.777728	-0.814544	-0.0245437	0.793068	-1.60454	0.334265	0	0	0	0	0	0	0	0	0	0	0	0.000000000	-0.181673	0.788798	-0.788798	-0.0160346	0.828698	-1.5708	0.296383	0.1	0.1	0.1	0.1	0.1	0	0	0	0	0	0	0.000000000
1504020457.998126029	-0.199418	0.777728	-0.814544	-0.0230097	0.793068	-1.60454	0.286513	0	0	0	0	0	0	0	0	0	0	0	0.000000000	-0.181673	0.788798	-0.788798	-0.0160346	0.828698	-1.5708	0.296383	0.1	0.1	0.1	0.1	0.1	0	0	0	0	0	0	0.000000000
1504020458.018013000	-0.193282	0.776194	-0.816078	-0.0230097	0.793068	-1.60454	0.238761	0	0	0	0	0	0	0	0	0	0	0	0.000000000	-0.167257	0.788798	-0.788798	-0.0147623	0.828698	-1.5708	0.285422	0.1	0.1	0.1	0.1	0.1	0	0	0	0	0	0	0.000000000
1504020458.038136005	-0.18868	0.776194	-0.814544	-0.0214757	0.791534	-1.60454	0.191009	0	0	0	0	0	0	0	0	0	0	0	0.000000000	-0.167257	0.788798	-0.788798	-0.0147623	0.828698	-1.5708	0.285422	0.1	0.1	0.1	0.1	0.1	0	0	0	0	0	0	0.000000000
1504020458.058012962	-0.18868	0.776194	-0.814544	-0.0214757	0.791534	-1.60454	0.191009	0	0	0	0	0	0	0	0	0	0	0	0.000000000	-0.153413	0.788798	-0.788798	-0.0135404	0.828698	-1.5708	0.274111	0.1	0.1	0.1	0.1	0.1	0	0	0	0	0	0	0.000000000
1504020458.078042984	-0.18101	0.776194	-0.814544	-0.0230097	0.793068	-1.60454	0.238761	0	0	0	0	0	0	0	0	0	0	0	0.000000000	-0.153413	0.788798	-0.788798	-0.0135404	0.828698	-1.5708	0.274111	0.1	0.1	0.1	0.1	0.1	0	0	0	0	0	0	0.000000000
1504020458.098282098	-0.174874	0.776194	-0.814544	-0.0230097	0.793068	-1.60454	0.238761	0	0	0	0	0	0	0	0	0	0	0	0.000000000	-0.153413	0.788798	-0.788798	-0.0135404	0.828698	-1.5708	0.274111	0.1	0.1	0.1	0.1	0.1	0	0	0	0	0	0	0.000000000
1504020458.118122100	-0.167204	0.776194	-0.814544	-0.0214757	0.793068	-1.60454	0.286513	0	0	0	0	0	0	0	0	0	0	0	0.000000000	-0.140155	0.788798	-0.788798	-0.0123702	0.828698	-1.5708	0.262515	0.1	0.1	0.1	0.1	0.1	0	0	0	0	0	0	0.000000000
1504020458.138464927	-0.159534	0.776194	-0.814544	-0.0214757	0.793068	-1.60454	0.286513	0	0	0	0	0	0	0	0	0	0	0	0.000000000	-0.140155	0.788798	-0.788798	-0.0123702	0.828698	-1.5708	0.262515	0.1	0.1	0.1	0.1	0.1	0	0	0	0	0	0	0.000000000
1504020458.158003091	-0.159534	0.776194	-0.814544	-0.0199418	0.793068	-1.60454	0.286513	0	0	0	0	0	0	0	0	0	0	0	0.000000000	-0.127496	0.788798	-0.788798	-0.011253	0.828698	-1.5708	0.250638	0.1	0.1	0.1	0.1	0.1	0	0	0	0	0	0	0.000000000
1504020458.178088903	-0.154932	0.777728	-0.814544	-0.0199418	0.793068	-1.60454	0.191009	0	0	0	0	0	0	0	0	0	0	0	0.000000000	-0.127496	0.788798	-0.788798	-0.011253	0.828698	-1.5708	0.250638	0.1	0.1	0.1	0.1	0.1	0	0	0	0	0	0	0.000000000
